UserIndex,Checked,CreatedAt,FollowersCount,FriendsCount,ScreenName,TweetID,UserID,UserName
7618952,True,2019-08-20 20:57:33,24007.0,1762.0,jamesurquhart, ,7618952.0,James Urquhart
7622742,True,2019-08-18 05:20:40,31999.0,10270.0,GOROman, ,7622742.0,ごろまん
7626302,True,2019-08-20 11:19:19,981.0,1351.0,fasoulas, ,7626302.0,Vasileios Fasoulas
7640782,True,2019-08-19 11:18:12,30217.0,4269.0,azeem, ,7640782.0,Azeem Azhar
7648872,True,2019-08-17 18:33:58,15578.0,853.0,markmadsen, ,7648872.0,Mark Madsen
7659812,True,2019-08-19 21:05:19,10299.0,2669.0,peterkirn, ,7659812.0,peterkirn
7673422,True,2019-08-17 20:49:59,385.0,112.0,rabidgremlin, ,7673422.0,rabidgremlin
7694282,True,2019-08-18 23:21:30,3339.0,2457.0,Dethtron5000, ,7694282.0,Peter Olson
7709242,True,2019-08-19 19:13:25,164.0,850.0,nightwalker, ,7709242.0,Akira Sakamoto
7758132,True,2019-08-21 01:58:58,28303.0,501.0,SarahJamieLewis,1163993865277169664,7758132.0,Sarah Jamie Lewis
7767542,True,2019-08-15 16:14:45,1067.0,1638.0,ernieyacub, ,7767542.0,ernie yacub
7769152,True,2019-08-19 17:51:14,246.0,558.0,MartinSandovalC, ,7769152.0,Martin Sandoval C
7914502,True,2019-08-19 19:44:48,965.0,671.0,joeskoin, ,7914502.0,Jorge Eskoin
7947212,True,2019-08-18 20:53:52,602.0,1939.0,jgomo3, ,7947212.0,Jesús Gómez
7959122,True,2019-08-19 03:16:58,1123.0,69.0,pavanyara_, ,7959122.0,Pavan Yara
7962982,True,2019-08-19 20:28:09,1109.0,3357.0,seeps001, ,7962982.0,Sipho Ngwenya
7977372,True,2019-08-14 19:16:52,129.0,402.0,goldenicon, ,7977372.0,Chris Marek
8020372,True,2019-08-21 14:13:51,981.0,447.0,liversidge,1164178808444002304,8020372.0,Chris Liversidge
8020862,True,2019-08-18 15:30:41,399.0,427.0,Mrphillipawood, ,8020862.0,👨🏼‍💻☕️
8032492,True,2019-08-16 16:51:15,131.0,803.0,inwardeye, ,8032492.0,inwardeye
8052872,True,2019-08-21 21:59:33,1344.0,1525.0,malosn,1164296001781452800,8052872.0,AMLoKebirMbenSaxir
8062702,True,2019-08-15 17:00:03,6996.0,7596.0,grjenkin, ,8062702.0,Garry Jenkin
8147452,True,2019-08-14 20:07:56,814.0,414.0,ametodico, ,8147452.0,ricardo Hartley
8148052,True,2019-08-20 16:02:08,1832.0,1111.0,skullpat, ,8148052.0,Patrice Robert
8159652,True,2019-08-19 14:58:57,7197.0,6531.0,moehlert, ,8159652.0,Mark Oehlert
8165542,True,2019-08-18 22:58:41,4072.0,100.0,igor, ,8165542.0,Igor Faletski
8190972,True,2019-08-15 17:06:57,283.0,772.0,yespete_, ,8190972.0,pete
"8220582,False,2019-08-19 01:13:58,838,2247,strictmachine, ,8220582,""nekobun, the 37th feral hog""",,,,,,,,
8241412,True,2019-08-14 17:45:01,1033.0,479.0,PunaDave, ,8241412.0,Dave Huff
8301552,True,2019-08-19 08:13:46,2885.0,609.0,AnthonyMasure, ,8301552.0,Anthony Masure
8345382,True,2019-08-15 17:30:47,489.0,323.0,marciomilk, ,8345382.0,MarcioMILK
8361772,True,2019-08-19 21:29:30,180.0,114.0,theos, ,8361772.0,theos
8365512,True,2019-08-20 11:28:40,1598.0,463.0,toraks, ,8365512.0,mad scientist Dr. Tora 🔬PhD 👩🏾‍🔬♀️👩🏾‍🏫
8376842,True,2019-08-17 22:43:01,353.0,154.0,moncur_d, ,8376842.0,doug moncur
8384132,True,2019-08-19 19:15:52,78.0,896.0,el2iot2, ,8384132.0,Elliott B. Edwards
8392972,True,2019-08-19 09:03:40,1040.0,532.0,jakekorab, ,8392972.0,Jakub Korab 🇪🇺
8470932,True,2019-08-20 22:43:38,3851.0,3565.0,jefferymyers, ,8470932.0,Jeffery Myers
8472272,True,2019-08-20 17:57:19,21333.0,1409.0,pwang, ,8472272.0,Peter Wang
8472752,True,2019-08-18 22:12:27,3423.0,779.0,jalvarez, ,8472752.0,jalvarez
8553412,True,2019-08-19 16:57:16,8180.0,1380.0,JanKutschera, ,8553412.0,Jan Kutschera
8611542,True,2019-08-20 01:24:51,154.0,152.0,robdias, ,8611542.0,Roberto Dias
8617842,True,2019-08-18 15:34:42,407.0,119.0,Sajesh, ,8617842.0,#DeModitiseIndia
8669812,True,2019-08-18 15:15:30,1726.0,520.0,eytanlevit, ,8669812.0,Eytan Levit
8678592,True,2019-08-20 21:43:14,30.0,130.0,fpatano, ,8678592.0,Franco Patano
8697162,True,2019-08-16 13:35:53,331.0,2153.0,josgraha, ,8697162.0,Joe Graham
"8715542,False,2019-08-20 16:18:46,4841,2492,Wolven, ,8715542,""Damien,""",,,,,,,,
8720422,True,2019-08-19 04:38:43,8487.0,4550.0,mwilcox, ,8720422.0,Mark Wilcox
8724862,True,2019-08-19 02:55:01,216567.0,1148.0,MITSloan, ,8724862.0,MIT Sloan School of Management
8749832,True,2019-08-17 22:23:48,2898.0,5001.0,foxgrrl, ,8749832.0,foxgrrl
8750272,True,2019-08-19 20:42:07,705.0,260.0,chibani, ,8750272.0,Loïc 😬
8795262,True,2019-08-22 09:45:03,6819.0,2021.0,renaudjoly,1164473550398472192,8795262.0,Renaud JOLY
8816072,True,2019-08-20 16:43:51,2652.0,1268.0,JohnAlexander, ,8816072.0,John Alexander
8836192,True,2019-08-18 23:09:15,945.0,554.0,RangerRick, ,8836192.0,Benjamin Reed
8839632,False,2019-08-18 06:00:00,981281.0,477.0,NBCNightlyNews, ,8839632.0,NBC Nightly News with Lester Holt
8841772,False,2019-08-18 22:58:02,448.0,2282.0,pfeil, ,8841772.0,G.
8874282,False,2019-08-19 15:09:09,848.0,4998.0,tobto, ,8874282.0,tobto
8876792,False,2019-08-18 13:49:18,766.0,1912.0,enriquehortala, ,8876792.0,Enrique Hortalá
8917142,False,2019-08-19 16:48:53,88261.0,450.0,dakami, ,8917142.0,Dan Kaminsky
