UserIndex,Checked,CreatedAt,FollowersCount,FriendsCount,ScreenName,TweetID,UserID,UserName
6747132,False,2019-08-19 00:41:08,304,529,stevewong, ,6747132,Steve Wong
6816822,False,2019-08-14 18:10:47,3117,1270,247intouch, ,6816822,24-7 Intouch
6931642,False,2019-08-19 11:09:46,233,170,hhmmss, ,6931642,Héctor 🏖
6935192,False,2019-08-20 20:35:50,2146,1194,Enderdoon, ,6935192,Yujin Chung
6964432,False,2019-08-20 14:02:54,1303,114,STATEC, ,6964432,STATEC
6987882,False,2019-08-18 00:41:15,8237,5404,angsuman, ,6987882,Angsuman Chakraborty
6993602,False,2019-08-19 09:45:02,5356,1361,jcorsello, ,6993602,Jason Corsello
6994412,False,2019-08-17 20:05:30,369,655,helvick, ,6994412,Joe Mansfield
7005092,False,2019-08-19 10:29:04,1138,756,AlanMorrison, ,7005092,Alan Morrison
7023362,False,2019-08-20 22:23:17,524,455,mwjtweet, ,7023362,Mark Johnson
7038822,False,2019-08-19 22:59:53,1743,999,laz, ,7038822,Laz Fuentes🎖
7074132,False,2019-08-14 19:02:22,9657,10352,dianalward, ,7074132,DianaSez
7114202,False,2019-08-19 13:47:36,1129,264,jamesarosen, ,7114202,James A Rosen
7120082,False,2019-08-19 08:48:26,7962,8732,oisinlunny, ,7120082,Oisín Lunny | Event MC | Journo | Tech Evangelist
7160062,False,2019-08-20 16:53:04,259,620,svaksha, ,7160062,॥ स्वक्ष॥
7202792,False,2019-08-19 21:14:37,1723,432,zooba, ,7202792,Zooba
7220562,False,2019-08-21 01:22:49,43,122,jasoncz1,1163984770755420160,7220562,Jason Zhou
7221492,False,2019-08-20 01:14:33,297,253,kamex, ,7221492,U-ichi Abe
7248362,False,2019-08-17 20:30:40,4177,4574,waweru, ,7248362,Frantz Fanon
7256872,False,2019-08-21 19:13:24,2841,7648,bluegod,1164254192070004736,7256872,Marius Comper
7263902,False,2019-08-17 23:54:44,938,1062,PierreSelim, ,7263902,Pierre-Selim
7278362,False,2019-08-18 15:33:29,711,590,ashish5ahu, ,7278362,Ashish Sahu
7324442,False,2019-08-21 14:02:00,994,842,d_a_i_i_n_o,1164175822887903232,7324442,Daisuke INOUE
7335652,False,2019-08-19 23:54:41,2391,1291,graffeo, ,7335652,ChristopherGraffeoMD
7377622,False,2019-08-18 15:34:12,5207,5679,fedelowe, ,7377622,federico lowenstein
7493212,False,2019-08-18 07:27:46,381,1084,dontmeanathing, ,7493212,Awake and Alert ☕️
7504352,False,2019-08-18 10:45:00,1317,737,jddwvr, ,7504352,JeanDimitri De〰avrin
7506822,False,2019-08-19 16:21:30,154,268,segabor, ,7506822,Gábor SEBESTYÉN 🇭🇺🇪🇺
7527052,False,2019-08-20 22:41:51,317,740,marcelloseri, ,7527052,Marcello Seri
7571482,False,2019-08-20 00:36:08,426,1197,hamala, ,7571482,Hamala
7595102,False,2019-08-22 02:59:05,5818,571,wretchardthecat,1164371384182571008,7595102,wretchardthecat
7595582,False,2019-08-20 00:49:07,626,693,jlueiza, ,7595582,José Miguel Lueiza
